"New"	"English"	"On’yomi"
"一"	"one"	"イチ, イツ, ichi, itsu"
"丁"	"fourth"	"チョウ, テイ, choo, tee"
"七"	"seven"	"シチ, shichi"
"万"	"ten thousand"	"マン, バン, man, ban"
"丈"	"length"	"ジョウ, joo"
"三"	"three"	"サン, san"
"上"	"above,up"	"ジョウ, ショウ, joo, shoo"
"下"	"below"	"カ, ゲ, ka, ge"
"不"	"not,non-"	"フ, ブ, fu, bu"
"与"	"give"	"ヨ, yo"
"且"	"also"	"shoo, sho, so"
"世"	"world"	"セイ, セ, see, se"
"丘"	"hill"	"キュウ, kyuu"
"丙"	"third class"	"ヘイ, hee"
"両"	"both"	"リョウ, ryoo"
"並"	"line-up"	"ヘイ, hee"
"中"	"middle"	"チュウ, chuu"
"丸"	"circle"	"ガン, gan"
"丹"	"cinnabar"	"タン, tan"
"主"	"master"	"シュ, ス, shu, su"
"久"	"long time"	"キュウ, ク, kyuu, ku"
"乏"	"scarce"	"ボウ, boo"
"乗"	"ride"	"ジョウ, joo"
"乙"	"the latter"	"オツ, otsu"
"九"	"nine"	"キュウ, ク, kyuu, ku"
"乱"	"chaos,riot"	"ラン, ran"
"乳"	"milk"	"ニュウ, nyuu"
"乾"	"dry"	"カン, kan"
"了"	"finish"	"リョウ, ryoo"
"予"	"before,in advance"	"ヨ, yo"
"争"	"conflict"	"ソウ, soo"
"事"	"thing,abstract thing"	"ジ, ズ, ji, zu"
"二"	"two"	"ニ, ni"
"互"	"mutually"	"ゴ, go"
"五"	"five"	"ゴ, go"
"井"	"well"	"セイ, ショウ, see, shoo"
"亜"	"Asia,sub-"	"ア, a"
"亡"	"deceased"	"ボウ, モウ, boo, moo"
"交"	"mix"	"コウ, koo"
"享"	"receive"	"キョウ, kyoo"
"京"	"capital"	"キョウ, ケイ, kyoo, kee"
"亭"	"pavilion"	"テイ, tee"
"人"	"person"	"ジン, ニン, jin, nin"
"仁"	"humanity"	"ジン, ニ, jin, ni"
"今"	"now"	"コン, キン, kon, kin"
"介"	"jammed in"	"カイ, kai"
"仏"	"Buddha"	"ブツ, butsu"
"仕"	"work"	"シ, ジ, shi, ji"
"他"	"other"	"タ, ta"
"付"	"attach"	"フ, fu"
"仙"	"hermit"	"セン, sen"
"代"	"substitute"	"ダイ, タイ, dai, tai"
"令"	"orders"	"レイ, ree"
"以"	"by means of"	"イ, i"
"仮"	"temporary"	"カ, ケ, ka, ke"
"仰"	"face-up"	"ギョウ, コウ, gyoo, koo"
"仲"	"relationship"	"チュウ, chuu"
"件"	"affair"	"ケン, ken"
"任"	"responsibility"	"ニン, nin"
"企"	"plan"	"キ, ki"
"伏"	"prostrated"	"フク, fuku"
"伐"	"fell"	"バツ, batsu"
"休"	"vacation,rest"	"キュウ, kyuu"
"会"	"association"	"カイ, エ, kai, e"
"伝"	"transmit"	"デン, den"
"伯"	"chief"	"ハク, haku"
"伴"	"consort"	"ハン, バン, han, ban"
"伸"	"lengthen"	"シン, shin"
"伺"	"pay respects"	"シ, shi"
"似"	"become"	"ジ, ji"
"但"	"however"	"tan"
"位"	"rank"	"イ, i"
"低"	"low"	"テイ, tee"
"住"	"house,dwelling"	"ジュウ, juu"
"佐"	"help"	"サ, sa"
"体"	"body"	"タイ, テイ, tai, tee"
"何"	"what"	"カ, ka"
"余"	"leave over"	"ヨ, yo"
"作"	"make"	"サク, サ, saku, sa"
"佳"	"excellent"	"カ, ka"
"併"	"join"	"ヘイ, hee"
"使"	"use"	"シ, shi"
"例"	"example"	"レイ, ree"
"侍"	"samurai"	"ジ, ji"
"供"	"offer"	"キョウ, ク, kyoo, ku"
"依"	"reliant"	"イ, エ, i, e"
"価"	"value"	"カ, ka"
"侮"	"scorn"	"ブ, bu"
"侯"	"marquis"	"コウ, koo"
